# Media Audit Report

Generated at: 2026-03-12T10:43:53.221494+00:00

Read-only audit scope:
- SELECT queries only against Postgres.
- HTTP HEAD and GET probes only against Supabase Storage.
- No DB writes, no storage writes, no signed-url POSTs.

## SUMMARY

- total media objects: 834
- total media assets: 140
- total lesson media rows: 819
- total storage objects: 780
- missing files: 321 unique objects / 545 DB rows
- mime mismatches: 0
- 0 byte files: 0
- tiny files (<100 bytes): 39
- missing byte_size rows: 3
- invalid buckets: 0
- unsupported formats: 2
- orphaned files (storage without DB): 11
- DB references missing in storage: 545
- orphaned storage GB: 0.489
- DB-missing storage GB: 2.434
- total GB of garbage: 2.923
- orphaned vs valid storage: 1.41% orphaned / 98.59% referenced
- not-ready media_assets: 23

## WHY FILES APPEAR "UNSUPPORTED"

- image/webp is not in the supported playback set (2)
- Private buckets are validated with authenticated HEAD/GET requests. Signed URL POST generation was intentionally avoided to preserve read-only semantics.
- lesson_media.media_asset_id being null is often a legacy/object-backed row, not automatically a corruption case. (727)

## RELATION DIAGNOSTICS

- missing media_asset relations: 0
- missing media_object relations: 0
- lesson_media.media_asset_id null: 727
- missing course cover relations: 0
- unresolvable lesson_media rows: 0

## BROKEN MEDIA

| media_id | storage_path | bucket | reason | source_table |
| --- | --- | --- | --- | --- |
| 6162eb45-e02c-49a1-9130-4a9029cea355 | f8854c47-fc78-4ab8-ab58-cf69570d0d92/e55ec7c2-5567-4e9b-bd80-df3a6ed59fc3/image/fa09ed4864354e7bbf148018f43d03d7.png | course-media | DB reference missing in storage.objects | app.media_objects |
| 0499e016-69e3-43ac-9372-a0089e98b525 | 9a0c9632-0a23-4cbb-b3fb-989179cfd049/6352c53c-38f4-45af-863b-d38fbf8369e7/image/c7fae990f81a4248984b7110f28fdee7.jpg | course-media | DB reference missing in storage.objects | app.media_objects |
| d443e713-78a8-4185-963f-685db0029513 | 31b70b33-9ce6-4595-8491-a1f99719fed1/4bf61669-fe1c-4aa5-b089-7638f0362839/image/8f245690d6d94c46974f09e20d89b735.png | course-media | DB reference missing in storage.objects | app.media_objects |
| 7bc8adeb-752b-4819-a8b9-76184e9af84c | f8854c47-fc78-4ab8-ab58-cf69570d0d92/e55ec7c2-5567-4e9b-bd80-df3a6ed59fc3/image/1db06a46cde147808318f31d9863a72d.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 4f2fc118-cd23-4bb0-a9f6-6a9117d45959 | 31b70b33-9ce6-4595-8491-a1f99719fed1/4bf61669-fe1c-4aa5-b089-7638f0362839/image/359df251116542379b09cb6c29b68662.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 6c68a4d0-19fb-47bc-a87d-95db7b75c00d | aba4e76c-2a2b-4a11-a840-5ecee670ce0f/dbd60587-8dee-42de-880a-0273b325e70b/image/bdc9e66a5a524c88aa47b3da677a48f2.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 7b30328c-e416-442c-9de5-3a3e536e39be | c698122c-da57-41ef-85f2-3d78cd4dce6d/13ab6906-9089-4d0b-adfb-28aacc8bbdb1/image/2afb1f0cc1734f37b553bb4140574b37.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 0cc86321-e134-49d2-91ee-eba35505a2f7 | c6e88f10-7097-449f-a7b8-ff10b0518062/1ae64028-5614-4c53-823c-a796ed30b4d4/image/b34a0b89e718409cb178e40a0a3d72fd.png | public-media | DB reference missing in storage.objects | app.media_objects |
| f3e1351c-110c-4909-b3ae-266efadb2d90 | c6e88f10-7097-449f-a7b8-ff10b0518062/8822b894-b621-4180-b0cd-96a459a0e95a/image/b3e2e00df36041a3b2659bd23e8ac4b1.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 67050675-3d9a-47eb-af15-6fc3464db2b2 | c6e88f10-7097-449f-a7b8-ff10b0518062/4aff73ec-781d-44a6-858b-c018238a3d6d/image/f09aec4c47f847e6981a5e719a2f5505.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 52737d26-703b-4894-b966-183d3220dafe | 2e905247-d58a-4869-8d1e-2bc17fb545ba/ba03e28f-2f8a-4e04-87eb-329e19af63b7/image/3c06bd3800104b33bc1f28fc0d49960c.jpg | public-media | DB reference missing in storage.objects | app.media_objects |
| 4f27aa04-4f25-4c47-8dcc-d36014964115 | 2e905247-d58a-4869-8d1e-2bc17fb545ba/d5d97f37-4d28-4363-8583-c95251df1f18/image/e2c263fa1b34431db44d28d168f4c2dd.jpg | public-media | DB reference missing in storage.objects | app.media_objects |
| 4e071797-56e3-4c33-9139-3f291ba1d286 | 2e905247-d58a-4869-8d1e-2bc17fb545ba/57bd2a59-b79e-4023-9fbf-fcb967375733/image/af9a5f2ab30c4e9491b7bf0f25068ca6.jpg | public-media | DB reference missing in storage.objects | app.media_objects |
| 53545844-4355-4469-8722-295355fe1d03 | 2e905247-d58a-4869-8d1e-2bc17fb545ba/c8e41e88-8aa7-411d-b2ca-18b3299a7895/image/d6eeda1759f943149530703c6561df31.jpg | public-media | DB reference missing in storage.objects | app.media_objects |
| 11be34ee-fb86-4023-844b-73dcdc451078 | f8854c47-fc78-4ab8-ab58-cf69570d0d92/bd4802f7-0e12-4a90-b9b6-9b552b9b58c5/image/d085adafac6447f39132d34131c5aa7a.png | public-media | DB reference missing in storage.objects | app.media_objects |
| ab94d65e-ed50-4290-b80b-c9a2f0071a14 | f8854c47-fc78-4ab8-ab58-cf69570d0d92/e55ec7c2-5567-4e9b-bd80-df3a6ed59fc3/image/745e067ca40e486e808d5ff8f5197ab5.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 1782c65f-86fd-4f1f-a12a-53c2aea64352 | f8854c47-fc78-4ab8-ab58-cf69570d0d92/ab98ee71-d4c4-4e4a-b016-6ec0b16b27fe/image/eb7cc45f27bb4327b754970068de3898.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 6bedbae4-3541-4960-8204-14bfa903e8bd | aba4e76c-2a2b-4a11-a840-5ecee670ce0f/19a28fbd-d650-4ca4-b10b-61c427c4f4d7/image/501b9b9e20c44b5180e133f24ad40e50.png | public-media | DB reference missing in storage.objects | app.media_objects |
| c16d1da9-db4a-4a52-a244-d9b291c5d7ae | aba4e76c-2a2b-4a11-a840-5ecee670ce0f/dbd60587-8dee-42de-880a-0273b325e70b/image/77df4aa29ff7457584f3567ac65b8f05.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 1658fc01-1dcf-4b56-8338-be58de397f31 | aba4e76c-2a2b-4a11-a840-5ecee670ce0f/757a1af9-37da-4236-8e20-4b28969f0f12/image/76e9cd890d4f40c29b10e5b223a06e19.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 21eb07a9-2911-47d3-86eb-17877966da6d | d801d509-c2bd-4dd7-a37b-373a0d88ceb6/df98683d-deb1-4a6f-893f-3868e14cad1e/image/215dc91dd45c4dad94a11aaf6cdea056.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 57608f46-c684-4985-b4fb-f9cbcf37e4d3 | d801d509-c2bd-4dd7-a37b-373a0d88ceb6/030bfb56-5d44-49a5-933f-09552f16fd76/image/d08bcb63767e48189efce6b6b4fbed99.png | public-media | DB reference missing in storage.objects | app.media_objects |
| fc121bba-15f3-4d23-a946-398d0947f443 | d801d509-c2bd-4dd7-a37b-373a0d88ceb6/0e667260-d078-41bb-baf6-4dbeb4a339c6/image/8595cad09b944e3ba16a5606b4e62066.png | public-media | DB reference missing in storage.objects | app.media_objects |
| 6686ab44-5935-4ba5-9a3f-a62f27013abe | 31b70b33-9ce6-4595-8491-a1f99719fed1/4bf61669-fe1c-4aa5-b089-7638f0362839/image/7a7ce44dc923477bbec916ae156b2142.png | public-media | DB reference missing in storage.objects | app.media_objects |
| b91f3ef2-9675-4c7d-8118-b96db76b38dc | 31b70b33-9ce6-4595-8491-a1f99719fed1/f9be5b42-861e-46bc-a0cb-1401fc586fd5/image/3d7ecd62bcae4929a08f1a375258d4e4.png | public-media | DB reference missing in storage.objects | app.media_objects |
| cac6e671-469d-441a-9984-dde74abb137a | c698122c-da57-41ef-85f2-3d78cd4dce6d/caa47f60-bca0-43aa-b068-cc235bd7b18e/image/e806673fe45c414ca2e656427d2e53b9.png | public-media | DB reference missing in storage.objects | app.media_objects |
